Year,Area,9-yr Moving Average
1895,0,0.00358967
1896,0.01025769,0.00551689
1897,0.012304463,0.005811595
1898,0,0.004728293
1899,0,0.004128978
1900,0.005235716,0.004832014
1901,0.010139568,0.005826333
1902,0.006461266,0.007227396
1903,0.001633845,0.01203712
1904,0,0.021615131
1905,0.068688338,0.030628848
1906,0.042506778,0.031933605
1907,0.016181289,0.02568565
1908,0.00852359,0.017845577
1909,0.023579584,0.011850776
1910,0,0.007389227
1911,0,0.004595389
1912,0.005511002,0.005246952
1913,0,0.010665227
1914,0.006259765,0.018310948
1915,0.073126984,0.02169023
1916,0,0.017932113
1917,0,0.012520031
1918,0,0.01103817
1919,0.039175229,0.011626105
1920,0.001323487,0.011133358
1921,0,0.011686115
1922,0.003625363,0.014997819
1923,0.057771552,0.01708634
1924,0,0.015495722
1925,0,0.015334164
1926,0,0.020841801
1927,0.077310859,0.027049654
1928,0.010377465,0.026587372
1929,0.031215775,0.019367065
1930,0,0.010878933
1931,0,0.005406238
1932,0.002453084,0.003478287
1933,0.007397633,0.003367324
1934,0,0.003571616
1935,0.005118257,0.003864281
1936,0.003408311,0.004401296
1937,0.005034546,0.005743669
1938,0.009048353,0.011935735
1939,0,0.029511802
1940,0.004605075,0.054700489
1941,0.232838503,0.067835587
1942,0.012199907,0.0558601
1943,0,0.031547884
1944,0.003377871,0.015497648
1945,0.021691629,0.012439136
1946,0.001131913,0.015244868
1947,0.031163167,0.017744658
1948,0.026306299,0.01792681
1949,0,0.016846557
1950,0.02022719,0.015860529
1951,0.028464907,0.014215865
1952,0,0.011197689
1953,0.006510235,0.008273878
1954,0.011261886,0.007750814
1955,0,0.011323918
1956,0,0.017877744
1957,0.072895705,0.022129535
1958,0.000191244,0.020133543
1959,0.014896182,0.014619561
1960,0.002603962,0.01048406
1961,0.017221881,0.009219646
1962,0.002506354,0.010750756
1963,0,0.014716962
1964,0.044332198,0.017901595
1965,0.022343777,0.016364424
1966,0,0.011028007
1967,0.0010171,0.006274845
1968,0.009609181,0.004016015
1969,0,0.003584278
1970,0.002095742,0.005904677
1971,0,0.013050838
1972,0.016736492,0.023088549
1973,0.077384974,0.02961636
1974,0,0.029054551
1975,0.041739486,0.025391305
1976,0.003349747,0.025307468
1977,0.015326978,0.029673747
1978,0.07986916,0.031789731
1979,0.022044338,0.027015431
1980,0,0.02285486
1981,0,0.031394546
1982,0.026827422,0.049606991
1983,0.187861436,0.058303851
1984,0,0.04696554
1985,0.003026154,0.026781083
1986,0.02079662,0.012626209
1987,0,0.007472209
1988,0,0.008638202
1989,0.004776135,0.01430641
1990,0.039153392,0.021581156
1991,0.028721994,0.027317744
1992,0.011330707,0.030582907
1993,0.071260867,0.032074701
1994,0,0.033938461
1995,0.026657354,0.03804125
1996,0.089271546,0.042081513
1997,0.005545743,0.041233561
1998,0.074667193,0.033550133
1999,0.006048338,0.021613168
2000,0,0.011199913
2001,0,0.008060209
2002,0,0.013154687
2003,0.032114093,0.021104604
2004,0.047239238,0.025043314
2005,0.014068341,0.023734354
2006,0.010911492,0.022062488
2007,0.022140953,0.024119727
2008,0.035476082,0.02964514
2009,0.031819947,0.036864591
2010,0.02897081,0.042994374
2011,0.100412663,0.043494483
2012,0.004227881,0.037814776
2013,0.034228364,0.032757088
2014,0,0.033563461
2015,0.091272328,0.037918613
2016,0.013336452,0.044621894
2017,0.015609873,0.057095801
2018,0.115254914,0.071590456
2019,0.119514889,0.075971267
2020,0.042938566,0.066629582
